msgid,msgstr,placeholders_original,placeholders_translation
Cron job %(name)s (%(id)s) has been deactivated after failing %(count)s times. More information can be found in the server logs around %(time)s.,Крон-работата %(name)s (%(id)s) е деактивирана откако не успеа %(count)s пати. Повеќе информации може да најдете во серверските логови околу %(time)s.,"%(name)s, %(id)s, %(count)s, %(time)s","%(name)s, %(id)s, %(count)s, %(time)s"
"Disabling this option will also uninstall the following modules 
%s",Оневозможувањето на оваа опција исто така ќе ги деинсталира следниве модули %s,%s,%s
"Display format to use for addresses belonging to this country.

You can use python-style string pattern with all the fields of the address (for example, use '%(street)s' to display the field 'street') plus
%(state_name)s: the name of the state
%(state_code)s: the code of the state
%(country_name)s: the name of the country
%(country_code)s: the code of the country","Формат за прикажување што ќе се користи за адреси што припаѓаат на оваа земја. Можете да користите Python-стилски шаблон за стринг со сите полиња од адресата (на пример, користете '%(street)s' за да го прикажете полето 'улица') плус
%(state_name)s: името на државата %(state_code)s: кодот на државата %(country_name)s: името на земјата %(country_code)s: кодот на земјата","%(street)s, %(state_name)s, %(state_code)s, %(country_name)s, %(country_code)s","%(street)s, %(state_name)s, %(state_code)s, %(country_name)s, %(country_code)s"
"Domain on non-relational field ""%(name)s"" makes no sense (domain:%(domain)s)","Домен на нерелационално поле ""%(name)s"" нема смисла (домен:%(domain)s)","%(name)s, %(domain)s","%(name)s, %(domain)s"
Element '%s' cannot be located in parent view,Елемент '%s' не може да се најде во родителскиот приказ,%s,%s
Element <attribute> with 'add' or 'remove' cannot contain text %s,Елемент <attribute> со 'add' или 'remove' не може да содржи текст %s,%s,%s
Element “%s” cannot be located in parent view,"Елементот ""%s"" не може да се најде во родителскиот приказ.",%s,%s
Email maximum size updated (%(details)s).,Максималната големина на е-пошта е ажурирана (%(details)s).,%(details)s,%(details)s
Empty dependency in “%s”,"Празна зависност во ""%s""",%s,%s
"Error while parsing or validating view:

%(error)s",Грешка при парсирање или валидација на приказот: %(error)s,%(error)s,%(error)s
"Error while parsing view:

%s",Грешка при парсирање на приказот: %s,%s,%s
"Error while validating view (%(view)s):

%(error)s",Грешка при валидирање на приказот (%(view)s): %(error)s,"%(view)s, %(error)s","%(view)s, %(error)s"
"Error while validating view near:

%(fivelines)s
%(error)s",Грешка при валидирање на приказот во близина на: %(fivelines)s %(error)s,"%(fivelines)s, %(error)s","%(fivelines)s, %(error)s"
"Field ""%(field_name)s"" does not exist in model ""%(model_name)s""","Полето ""%(field_name)s"" не постои во моделот ""%(model_name)s""","%(field_name)s, %(model_name)s","%(field_name)s, %(model_name)s"
"Field ""%s"" is not cached","Полето ""%s"" не е кеширано",%s,%s
Field '%(field)s' found in 'groupby' node does not exist in model %(model)s,Поле '%(field)s' пронајдено во јазолот 'groupby' не постои во моделот %(model)s,"%(field)s, %(model)s","%(field)s, %(model)s"
"Field '%(name)s' found in 'groupby' node can only be of type many2one, found %(type)s","Полето '%(name)s' пронајдено во јазолот 'groupby' може да биде само од типот many2one, пронајдено %(type)s","%(name)s, %(type)s","%(name)s, %(type)s"
Field `%(name)s` does not exist,Поле `%(name)s` не постои,%(name)s,%(name)s
Field “%(name)s” used in %(use)s is present in view but is in select multi.,"Полето ""%(name)s"", користено во %(use)s, е присутно во прегледот, но е во multi-select.","%(name)s, %(use)s","%(name)s, %(use)s"
Fields %s contain a non-str value/label in selection,Полињата %s содржат вредност/етикета што не е стринг при избор,%s,%s
"File ""%(file_name)s"" not imported due to format mismatch or a malformed file. (Valid formats are .csv, .po)

Technical Details:
%(error_message)s","Датотека ""%(file_name)s"" не е увезена поради несоодветен формат или неисправна датотека. (Важечки формати се .csv, .po) Технички детали: %(error_message)s","%(file_name)s, %(error_message)s","%(file_name)s, %(error_message)s"
Forbidden attribute used in arch (%s).,Забранет атрибут користен во архива (%s).,%s,%s
Forbidden owl directive used in arch (%s).,Забранета директива за бувот користена во архива (%s).,%s,%s
"Found multiple matches for value ""%(value)s"" in field ""%%(field)s"" (%(match_count)s matches)","Пронајдени се повеќе совпаѓања за вредноста ""%(value)s"" во полето ""%%(field)s"" (%(match_count)s совпаѓања)","%(value)s, %(field)s, %(match_count)s","%(value)s, %(field)s, %(match_count)s"
"Group-restricted fields cannot be included in webhook payloads, as it could allow any user to accidentally leak sensitive information. You will have to remove the following fields from the webhook payload in the following actions:
 %s","Полиња ограничени по група не можат да се вклучат во вебхук-потплати, бидејќи тоа би можело да му овозможи на кој било корисник случајно да протече чувствителни информации. Ќе треба да ги отстраните следниве полиња од вебхук-потплатот во следниве акции: %s",%s,%s
I'm sorry to say that JSON fields (such as %s) are currently not supported.,Жал ми е што морам да кажам дека JSON-полињата (како што е %s) во моментов не се поддржани.,%s,%s
"Insufficient fields to generate a Calendar View for %s, missing a date_stop or a date_delay","Недостаток на полиња за генерирање на календарски приказ за %s, недостасува date_stop или date_delay",%s,%s
"Invalid ""order"" specified (%s). A valid ""order"" specification is a comma-separated list of valid field names (optionally followed by asc/desc for the direction)","Невалиден ""order"" е наведен (%s). Валидна спецификација за ""order"" е листа на валидни имиња на полиња, одделени со запирка (опционално проследена со asc/desc за насока).",%s,%s
"Invalid %(use)s: “%(expr)s”
%(error)s","Невалиден %(use)s: ""%(expr)s"" %(error)s","%(use)s, %(expr)s, %(error)s","%(use)s, %(expr)s, %(error)s"
Invalid Expression while parsing xpath “%s”,"Невалиден израз при парсирање на XPath ""%s""",%s,%s
Invalid attributes %s in element <attribute>,Невалидни атрибути %s во елемент <attribute>,%s,%s
Invalid composed field %(definition)s in %(use)s,Невалидно составено поле %(definition)s во %(use)s,"%(definition)s, %(use)s","%(definition)s, %(use)s"
"Invalid context: “%(expr)s” is not a valid Python expression 

 %(error)s","Невалиден контекст: ""%(expr)s"" не е валиден Python израз ""%(error)s""","%(expr)s, %(error)s","%(expr)s, %(error)s"
Invalid database id '%s' for the field '%%(field)s',Невалиден идентификатор на базата на податоци '%s' за полето '%%(field)s',"%s, %(field)s","%s, %(field)s"
Invalid default period %(default_period)s for date filter,Невалиден стандарден период %(default_period)s за филтерот за датум,%(default_period)s,%(default_period)s
Invalid domain: %s,Невалидна доменска адреса: %s,%s,%s
Invalid field %(model)s.%(field)s,Невалидно поле %(model)s.%(field)s,"%(model)s, %(field)s","%(model)s, %(field)s"
"Invalid inherit mode. Module ""%(module)s"" and template name ""%(template_name)s""","Невалиден режим на наследување. Модул ""%(module)s"" и име на шаблонот ""%(template_name)s""","%(module)s, %(template_name)s","%(module)s, %(template_name)s"
Invalid mode attribute: “%s”,"Невалиден атрибут на режимот: ""%s""",%s,%s
Invalid model name “%s” in action definition.,"Невалидно име на моделот ""%s"" во дефиницијата на акцијата.",%s,%s
Invalid position attribute: '%s',Невалиден атрибут на позиција: '%s',%s,%s
Invalid prefix or suffix for sequence “%s”,"Невалиден префикс или суфикс за низата ""%s""",%s,%s
Invalid separator %(separator)s for python expression %(expression)s; valid values are 'and' and 'or',Невалиден раздвојувач %(separator)s за python израз %(expression)s; валидни вредности се 'and' и 'or',"%(separator)s, %(expression)s","%(separator)s, %(expression)s"
"Invalid server name!
 %s",Невалидно име на сервер! %s,%s,%s
Invalid special '%(value)s' in button,Невалидна специјална ознака '%(value)s' во копчето,%(value)s,%(value)s
Invalid specification for moved nodes: “%s”,"Невалидна спецификација за преместени јазли: ""%s""",%s,%s
Invalid value for %(model)s.%(field)s: %(value)s,Невалидна вредност за %(model)s.%(field)s: %(value)s,"%(model)s, %(field)s, %(value)s","%(model)s, %(field)s, %(value)s"
"Invalid value for %(model)s.%(field)s: %(value)s is out of bounds (integers should be between -2,147,483,648 and 2,147,483,647)","Невалидна вредност за %(model)s.%(field)s: %(value)s е надвор од границите (целоброените вредности треба да бидат помеѓу -2,147,483,648 и 2,147,483,647)","%(model)s, %(field)s, %(value)s","%(model)s, %(field)s, %(value)s"
Invalid view %(name)s definition in %(file)s,Невалидна дефиниција на view %(name)s во %(file)s,"%(name)s, %(file)s","%(name)s, %(file)s"
Invalid xmlid %(xmlid)s for button of type action.,Невалиден xmlid %(xmlid)s за копче од типот action.,%(xmlid)s,%(xmlid)s
List child can only have one of %(tags)s tag (not %(wrong_tag)s),Листата со деца може да има само една ознака %(tags)s (не %(wrong_tag)s),"%(tags)s, %(wrong_tag)s","%(tags)s, %(wrong_tag)s"
"Mail delivery failed via SMTP server '%(server)s'.
%(exception_name)s: %(message)s",Доставата на пошта преку SMTP серверот '%(server)s' не успеа. %(exception_name)s: %(message)s,"%(server)s, %(exception_name)s, %(message)s","%(server)s, %(exception_name)s, %(message)s"
Many2one %(field)s on model %(model)s does not exist!,Many2one %(field)s на моделот %(model)s не постои!,"%(field)s, %(model)s","%(field)s, %(model)s"
Missing required value for the field '%(name)s' (%(technical_name)s),Недостасува задолжителна вредност за полето '%(name)s' (%(technical_name)s),"%(name)s, %(technical_name)s","%(name)s, %(technical_name)s"
Missing required value for the field '%(name)s' on a linked model [%(linked_model)s],Фали вредност потребна за полето '%(name)s' на поврзан модел [%(linked_model)s],"%(name)s, %(linked_model)s","%(name)s, %(linked_model)s"
Model %s does not exist,Моделот %s не постои,%s,%s
Model %s does not exist!,Моделот %s не постои!,%s,%s
Model not found: %(model)s,Модел не е пронајден: %(model)s,%(model)s,%(model)s
Model “%s” contains module data and cannot be removed.,"Моделот ""%s"" содржи податоци за модулот и не може да се отстрани.",%s,%s
"Module loading %(module)s failed: file %(file)s could not be processed:
%(message)s",Вчитавање на модулот %(module)s не успеа: датотеката %(file)s не можеше да се обработи: %(message)s,"%(module)s, %(file)s, %(message)s","%(module)s, %(file)s, %(message)s"
"Modules ""%(module)s"" and ""%(incompatible_module)s"" are incompatible.","Модулите ""%(module)s"" и ""%(incompatible_module)s"" се некомпатибилни.","%(module)s, %(incompatible_module)s","%(module)s, %(incompatible_module)s"
Name or id “%(name_or_id)s” in %(use)s does not exist.,"Името или идентификаторот ""%(name_or_id)s"" во %(use)s не постои.","%(name_or_id)s, %(use)s","%(name_or_id)s, %(use)s"
Name or id “%(name_or_id)s” in %(use)s must be present in view but is missing.,"Името или идентификаторот ""%(name_or_id)s"" во %(use)s мора да биде присутен во приказот, но недостасува.","%(name_or_id)s, %(use)s","%(name_or_id)s, %(use)s"
No default view of type '%s' could be found!,Не може да се најде стандарден приказ од типот '%s'!,%s,%s
No matching record found for %(field_type)s '%(value)s' in field '%%(field)s',Не е пронајден соодветен запис за %(field_type)s '%(value)s' во полето '%%(field)s',"%(field_type)s, %(value)s, %(field)s","%(field_type)s, %(value)s, %(field)s"
No matching record found for %(field_type)s '%(value)s' in field '%%(field)s' and the following error was encountered when we attempted to create one: %(error_message)s,Не е пронајден никаков соодветен запис за %(field_type)s '%(value)s' во полето '%%(field)s' и при обидот да се создаде запис се појави следнава грешка: %(error_message)s,"%(field_type)s, %(value)s, %(field)s, %(error_message)s","%(field_type)s, %(value)s, %(field)s, %(error_message)s"
"No response received. Check server address and port number.
 %s",Не е добиен одговор. Проверете ја адресата на серверот и бројот на портата. %s,%s,%s
No spaces allowed in view_mode: “%s”,"Не се дозволени празнини во view_mode: ""%s""",%s,%s
"Non-relational field name ""%(field_name)s"" in related field ""%(related_field)s""","Не-релационално поле ""%(field_name)s"" во поврзано поле ""%(related_field)s""","%(field_name)s, %(related_field)s","%(field_name)s, %(related_field)s"
Non-relational field “%(field)s” in dependency “%(dependency)s”,"Не-релационално поле ""%(field)s"" во зависност ""%(dependency)s""","%(field)s, %(dependency)s","%(field)s, %(dependency)s"
Non-relational field “%(field)s” in path “%(field_path)s” in %(use)s),"Не-релационално поле ""%(field)s"" во патека ""%(field_path)s"" во %(use)s)","%(field)s, %(field_path)s, %(use)s","%(field)s, %(field_path)s, %(use)s"
"Not enough access rights on the external ID ""%(module)s.%(xml_id)s""","Недостаток на права за пристап до надворешниот ИД ""%(module)s.%(xml_id)s""","%(module)s, %(xml_id)s","%(module)s, %(xml_id)s"
Object %s doesn't exist,Објектот %s не постои,%s,%s
Odoo is unable to merge the generated PDFs because of %(num_errors)s corrupted file(s),Odoo не може да ги спои генерираните PDF-датотеки поради %(num_errors)s оштетени датотеки,%(num_errors)s,%(num_errors)s
Only the portal users can delete their accounts. The user(s) %s can not be deleted.,Само корисниците на порталот можат да ги избришат своите сметки. Корисникот(ите) %s не може да се избрише.,%s,%s
Partners: %(category)s,Партнери: %(category)s,%(category)s,%(category)s
Private methods (such as %s) cannot be called remotely.,Приватните методи (како што е %s) не можат да се повикуваат оддалечено.,%s,%s
"Related field ""%(related_field)s"" does not have comodel ""%(comodel)s""","Поврзаното поле ""%(related_field)s"" нема комодел ""%(comodel)s""","%(related_field)s, %(comodel)s","%(related_field)s, %(comodel)s"
"Related field ""%(related_field)s"" does not have type ""%(type)s""","Поврзаното поле ""%(related_field)s"" нема тип ""%(type)s""","%(related_field)s, %(type)s","%(related_field)s, %(type)s"
"Report template “%s” has an issue, please contact your administrator. 

Cannot separate file to save as attachment because the report's template does not contain the attributes 'data-oe-model' and 'data-oe-id' as part of the div with 'article' classname.","Шаблонот за извештај ""%s"" има проблем, ве молиме контактирајте го вашиот администратор. Не може да се подели датотека за зачувување како прилог бидејќи шаблонот на извештајот не ги содржи атрибутите 'data-oe-model' и 'data-oe-id' како дел од div-от со класа 'article'.",%s,%s
SSL certificate is missing for %s.,SSL сертификатот недостасува за %s.,%s,%s
SSL private key is missing for %s.,SSL приватниот клуч недостасува за %s.,%s,%s
"Server replied with following exception:
 %s",Серверот одговори со следната грешка: %s,%s,%s
"Since %(user)s is a/an ""%(category)s: %(group)s"", they will at least obtain the right %(missing_group_message)s","Бидејќи %(user)s е ""%(category)s: %(group)s"", тие барем ќе го добијат вистинскиот %(missing_group_message)s","%(user)s, %(category)s, %(group)s, %(missing_group_message)s","%(user)s, %(category)s, %(group)s, %(missing_group_message)s"
"Since 17.0, the ""attrs"" and ""states"" attributes are no longer used.
View: %(name)s in %(file)s","Од верзија 17.0, атрибутите ""attrs"" и ""states"" повеќе не се користат. Приказ: %(name)s во %(file)s","%(name)s, %(file)s","%(name)s, %(file)s"
"Skipping a company check for model %(model_name)s. Its fields %(field_names)s are set as company-dependent, but the model doesn't have a `company_id` or `company_ids` field!","Прескокнување на компаниски чек за моделот %(model_name)s. Неговите полиња %(field_names)s се поставени како зависни од компанијата, но моделот нема поле `company_id` или `company_ids`!","%(model_name)s, %(field_names)s","%(model_name)s, %(field_names)s"
"The ""%s"" action cannot be selected as home action.","Акцијата ""%s"" не може да се избере како почетна акција.",%s,%s
"The ""editable"" attribute of list views must be ""top"" or ""bottom"", received %(value)s","Атрибутот ""editable"" на приказите на листа мора да биде ""top"" или ""bottom"", примени %(value)s",%(value)s,%(value)s
The %s of a subsidiary must be the same as it's root company.,%s на подружницата мора да биде ист како кај матичната компанија.,%s,%s
"The action ""%s"" cannot be set as the home action because it requires a record to be selected beforehand.","Акцијата ""%s"" не може да се постави како почетна акција бидејќи бара претходно да се избере запис.",%s,%s
The company %(company_name)s cannot be archived because it is still used as the default company of %(active_users)s users.,Компанијата %(company_name)s не може да се архивира бидејќи сè уште се користи како стандардна компанија за корисниците на %(active_users)s.,"%(company_name)s, %(active_users)s","%(company_name)s, %(active_users)s"
The field '%(field)s' cannot be removed because the field '%(other_field)s' depends on it.,Полето '%(field)s' не може да се отстрани бидејќи полето '%(other_field)s' зависи од него.,"%(field)s, %(other_field)s","%(field)s, %(other_field)s"
"The field value you're saving (%(model)s %(field)s) includes content that is restricted for security reasons. It is possible that someone with higher privileges previously modified it, and you are therefore not able to modify it yourself while preserving the content.","Вредноста на полето што ја зачувувате (%(model)s %(field)s) вклучува содржина што е ограничена поради безбедносни причини. Можно е некој со повисоки привилегии претходно да ја изменил, па затоа не можете сами да ја измените додека ја зачувувате содржината.","%(model)s, %(field)s","%(model)s, %(field)s"
The following languages are not activated: %(missing_names)s,Следните јазици не се активирани: %(missing_names)s,%(missing_names)s,%(missing_names)s
The following modules are not installed or unknown: %s,Следните модули не се инсталирани или се непознати: %s,%s,%s
The group “%(name)s” defined in view does not exist!,"Групата ""%(name)s"" дефинирана во прегледот не постои!",%(name)s,%(name)s
The language %s is not installed.,Јазикот %s не е инсталиран.,%s,%s
The m2o field %s is required but declares its ondelete policy as being 'set null'. Only 'restrict' and 'cascade' make sense.,"Полето m2o %s е задолжително, но ја декларира политиката onDelete како 'set null'. Само 'restrict' и 'cascade' имаат смисла.",%s,%s
The modes in view_mode must not be duplicated: %s,Модовите во view_mode не смеат да се дуплицираат: %s,%s,%s
"The ondelete policy ""%(policy)s"" is not valid for field ""%(field)s""","Политиката ondelete ""%(policy)s"" не важи за полето ""%(field)s""","%(policy)s, %(field)s","%(policy)s, %(field)s"
"The operation cannot be completed:
- Create/update: a mandatory field is not set.
- Delete: another model requires the record being deleted. If possible, archive it instead.

Model: %(model_name)s (%(model_tech_name)s)
Field: %(field_name)s (%(field_tech_name)s)
","Операцијата не може да се заврши: - Создавање/ажурирање: задолжително поле не е пополнето. - Бришење: друг модел бара записот што се брише. Ако е можно, архивирајте го наместо тоа. Модел: %(model_name)s (%(model_tech_name)s) Поле: %(field_name)s (%(field_tech_name)s) ","%(model_name)s, %(model_tech_name)s, %(field_name)s, %(field_tech_name)s","%(model_name)s, %(model_tech_name)s, %(field_name)s, %(field_tech_name)s"
The operation cannot be completed: %s,Операцијата не може да се заврши: %s,%s,%s
"The operation cannot be completed: another model requires the record being deleted. If possible, archive it instead.

Model: %(model_name)s (%(model_tech_name)s)
Constraint: %(constraint)s
","Операцијата не може да се заврши: друг модел бара записот да се избрише. Ако е можно, архивирајте го наместо тоа. Модел: %(model_name)s (%(model_tech_name)s) Ограничување: %(constraint)s ","%(model_name)s, %(model_tech_name)s, %(constraint)s","%(model_name)s, %(model_tech_name)s, %(constraint)s"
